GPSWeek,GPSTime,Latitude,Longitude,Altitude,cmd_v,tractor_info_dict
2282,546770.0,37.43193887,121.51308961,45.86,2.0,0.0
2282,546783.0,37.43193854,121.51308948,45.83,2.0,0.0
2282,546785.0,37.43193854,121.51308949,45.83,2.0,0.0
2282,546787.0,37.43193855,121.51308947,45.83,2.0,0.0
2282,546789.0,37.43193855,121.51308951,45.83,2.0,0.0
2282,546791.0,37.43193853,121.51308949,45.83,2.0,0.0
2282,546793.0,37.43193853,121.51308948,45.83,2.0,0.0
2282,546795.0,37.43193856,121.5130895,45.83,2.0,0.0
2282,546797.0,37.43193857,121.51308945,45.83,2.0,0.0
2282,546799.0,37.43193856,121.51308947,45.83,2.0,0.0
2282,546801.0,37.43193853,121.51308944,45.83,2.0,0.0
2282,546803.0,37.43193852,121.51308944,45.83,2.0,0.0
2282,546805.0,37.43193855,121.51308943,45.83,2.0,0.0
